Signal_ID,Location,Track_ID,Position_KM,Initial_State,Red_Time_Sec,Yellow_Time_Sec,Green_Time_Sec,Controlled_Tracks,Signal_Type,Last_Maintenance
SG0001,JN0676-JN0214,TK1910,261.27,Red,91,10,148,"[""TK1910""]",Automatic,2025-06-04 17:37:29.519794
SG0002,JN0980-JN0030,TK0898,161.03,Red,109,10,140,"[""TK0898"", ""TK0876""]",Manual,2025-01-29 17:37:29.521421
SG0003,JN0180-JN0755,TK2974,103.21,Green,135,10,173,"[""TK2974""]",Automatic,2024-11-09 17:37:29.522174
SG0004,JN0780-JN0297,TK1937,115.29,Yellow,91,13,133,"[""TK1937""]",Semi-Automatic,2025-09-08 17:37:29.522908
SG0005,JN0393-JN0950,TK1358,3.01,Yellow,92,10,179,"[""TK1358""]",Automatic,2025-06-03 17:37:29.523645
SG0006,JN0775-JN0491,TK0412,117.87,Green,160,10,157,"[""TK0412""]",Automatic,2025-08-26 17:37:29.524359
SG0007,JN0340-JN0153,TK0687,139.27,Red,82,11,209,"[""TK0687""]",Semi-Automatic,2025-08-17 17:37:29.525081
SG0008,JN0203-JN0041,TK1784,11.69,Red,128,6,115,"[""TK1784"", ""TK0813""]",Manual,2025-08-13 17:37:29.526242
SG0009,JN0705-JN0912,TK0155,87.31,Red,124,10,151,"[""TK0155""]",Semi-Automatic,2024-11-23 17:37:29.526978
SG0010,JN0140-JN0765,TK1650,62.01,Green,148,10,276,"[""TK1650"", ""TK0642""]",Manual,2025-08-13 17:37:29.528259
SG0011,JN0315-JN0571,TK2410,187.7,Green,82,5,128,"[""TK2410""]",Manual,2025-05-31 17:37:29.529161
SG0012,JN0913-JN0119,TK0653,195.75,Red,153,12,195,"[""TK0653""]",Automatic,2025-04-04 17:37:29.529927
SG0013,JN0213-JN0179,TK2217,116.59,Green,118,6,272,"[""TK2217""]",Semi-Automatic,2025-04-16 17:37:29.530743
SG0014,JN0963-JN0863,TK1655,176.5,Yellow,72,14,158,"[""TK1655"", ""TK1221"", ""TK1954""]",Semi-Automatic,2025-08-21 17:37:29.531947
SG0015,JN0197-JN0708,TK2277,19.3,Yellow,131,5,134,"[""TK2277"", ""TK2012"", ""TK0228""]",Automatic,2025-09-08 17:37:29.533231
SG0016,JN0689-JN0984,TK1462,28.18,Green,74,11,121,"[""TK1462""]",Manual,2024-11-22 17:37:29.534051
SG0017,JN0297-JN0130,TK2654,38.68,Green,138,6,265,"[""TK2654""]",Manual,2025-07-12 17:37:29.534809
SG0018,JN0912-JN0816,TK0720,19.79,Yellow,112,11,114,"[""TK0720""]",Automatic,2025-05-25 17:37:29.535552
SG0019,JN0277-JN0680,TK2623,8.31,Red,96,9,153,"[""TK2623"", ""TK2262"", ""TK0568""]",Manual,2024-10-31 17:37:29.536821
SG0020,JN0005-JN0284,TK1749,166.97,Red,101,10,156,"[""TK1749""]",Manual,2024-10-13 17:37:29.537713
SG0021,JN0814-JN0578,TK0452,3.93,Green,143,8,236,"[""TK0452""]",Semi-Automatic,2025-01-20 17:37:29.538485
SG0022,JN0771-JN0579,TK1528,120.5,Green,75,7,264,"[""TK1528""]",Semi-Automatic,2025-07-28 17:37:29.539240
SG0023,JN0218-JN0859,TK1647,239.4,Red,131,7,276,"[""TK1647""]",Manual,2025-01-23 17:37:29.539969
SG0024,JN0127-JN0433,TK1035,209.86,Red,84,5,184,"[""TK1035""]",Automatic,2025-02-02 17:37:29.540738
SG0025,JN0047-JN0512,TK0941,4.52,Yellow,172,12,100,"[""TK0941"", ""TK1270""]",Manual,2024-10-02 17:37:29.541904
SG0026,JN0027-JN0325,TK2523,26.29,Green,168,8,234,"[""TK2523"", ""TK0001"", ""TK2927""]",Semi-Automatic,2025-06-29 17:37:29.543146
SG0027,JN0866-JN0009,TK1193,87.93,Green,98,14,184,"[""TK1193""]",Automatic,2025-07-22 17:37:29.544082
SG0028,JN0056-JN0631,TK0023,3.25,Yellow,101,14,181,"[""TK0023""]",Automatic,2025-04-01 17:37:29.544847
SG0029,JN0877-JN0858,TK2431,109.66,Yellow,142,5,296,"[""TK2431""]",Manual,2024-10-05 17:37:29.545597
SG0030,JN0309-JN0108,TK1656,28.39,Yellow,63,14,229,"[""TK1656"", ""TK2557"", ""TK0039""]",Automatic,2024-10-26 17:37:29.546768
SG0031,JN0166-JN0034,TK0617,2.72,Green,136,5,164,"[""TK0617""]",Semi-Automatic,2025-04-16 17:37:29.547678
SG0032,JN0236-JN0225,TK2287,69.8,Red,127,5,257,"[""TK2287"", ""TK0261"", ""TK1838""]",Automatic,2024-10-22 17:37:29.549037
SG0033,JN0029-JN0683,TK0563,72.66,Yellow,68,11,93,"[""TK0563""]",Semi-Automatic,2025-02-11 17:37:29.549877
SG0034,JN0497-JN0799,TK1117,305.66,Yellow,113,7,294,"[""TK1117""]",Manual,2025-04-06 17:37:29.550765
SG0035,JN0510-JN0840,TK2478,94.98,Red,106,5,112,"[""TK2478""]",Manual,2025-08-14 17:37:29.551753
SG0036,JN0613-JN0410,TK2489,33.46,Yellow,135,5,190,"[""TK2489"", ""TK1219""]",Manual,2024-12-06 17:37:29.553053
