Track_ID,Start_Junction,End_Junction,Track_Length,Max_Capacity,Signal_Positions,Halt_Positions,Track_Type,Electrified,Max_Speed_Limit
TK0001,JN0438,JN0868,257.78,5,"[255.32, 208.2, 48.51, 54.64, 87.7, 82.01, 246.58, 203.41, 186.64, 47.94, 234.46, 213.41]","[42.18, 224.57, 70.18, 20.85, 169.32]",Junction Track,Yes,100
TK0002,JN0166,JN0692,340.82,5,"[44.55, 111.02, 196.75, 230.53, 260.22, 108.45, 49.71, 325.43, 26.04, 32.65, 168.69, 279.22, 263.97, 319.59, 48.26, 128.06, 96.16]","[293.4, 166.44, 9.15, 241.29, 132.48, 181.03]",Junction Track,No,120
TK0003,JN0652,JN0065,135.28,2,"[54.86, 76.94, 106.96, 94.31, 134.67, 1.85]","[48.04, 38.02]",Loop,Yes,80
TK0004,JN0497,JN0983,46.96,1,"[35.53, 2.44]",[],Single Line,No,80
TK0005,JN0468,JN0569,67.01,7,"[13.37, 17.59, 49.96]",[65.51],Double Line,Yes,160
TK0006,JN0537,JN0368,400.1,3,"[355.99, 120.82, 172.86, 211.22, 109.24, 363.49, 185.86, 169.7, 339.99, 124.82, 327.07, 48.92, 73.13, 380.43, 337.06, 155.2, 255.45, 377.28, 84.76, 23.61]","[215.04, 57.05, 74.95, 356.71, 2.96, 326.81, 206.83, 223.77]",Junction Track,Yes,80
TK0007,JN0810,JN0407,416.61,4,"[92.09, 11.71, 408.12, 408.44, 157.54, 10.63, 302.99, 346.21, 52.08, 56.43, 342.55, 384.08, 329.44, 83.63, 171.44, 250.32, 66.78, 87.74, 117.85, 212.27]","[212.81, 339.24, 313.71, 380.67, 347.0, 105.77, 138.02, 208.48]",Loop,Yes,120
TK0008,JN0460,JN0128,164.61,5,"[50.91, 105.87, 145.22, 66.2, 10.97, 84.95, 56.95, 110.65]","[156.55, 79.94, 76.74]",Loop,Yes,160
TK0009,JN0362,JN0694,230.75,2,"[47.22, 157.57, 176.39, 193.8, 67.42, 214.84, 127.59, 160.73, 137.7, 28.32, 222.24]","[28.35, 58.81, 187.75, 142.74]",Junction Track,No,140
TK0010,JN0602,JN0232,461.31,5,"[319.03, 22.11, 327.48, 268.58, 91.39, 22.63, 50.07, 242.05, 349.86, 154.38, 174.89, 430.93, 98.27, 47.86, 158.42, 344.1, 288.82, 191.81, 445.05, 339.06, 28.54, 343.51, 11.09]","[300.0, 97.1, 321.28, 142.91, 402.73, 155.42, 285.87, 131.9, 423.13]",Loop,No,160
TK0011,JN0603,JN0866,181.79,3,"[43.4, 166.82, 14.2, 77.7, 96.79, 163.38, 181.37, 136.96, 176.48]","[143.09, 175.1, 128.58]",Loop,Yes,160
TK0012,JN0297,JN0597,178.61,1,"[64.47, 139.93, 174.09, 104.4, 79.66, 39.79, 116.71, 122.45]","[122.38, 4.82, 160.59]",Single Line,Yes,140
