Train_ID,Train_Name,Train_Type,Max_Speed,Avg_Speed,Train_Length,Capacity,Priority_Level,Color_Code
TR0001,Allahabad_Central_Rajdhani_1,Rajdhani,168,139,271,506,1,#FF00FF
TR0002,Nagpur_Central_Rajdhani_2,Rajdhani,158,137,287,730,1,#FFFF00
TR0003,Mumbai_Central_Metro_3,Metro,93,81,152,949,2,#800080
TR0004,Kochi_Junction_Local_4,Local,109,94,170,985,2,#008080
TR0005,Allahabad_Terminal_Express_5,Express,121,98,264,1360,2,#808080
TR0006,Gwalior_Rajdhani_6,Rajdhani,142,123,334,706,1,#008000
TR0007,Jaipur_Rajdhani_7,Rajdhani,157,139,259,488,1,#00FF00
TR0008,Lucknow_Central_Express_8,Express,108,84,341,1364,2,#008080
TR0009,Mysore_Junction_Rajdhani_9,Rajdhani,147,118,280,434,1,#00FF00
TR0010,Pune_Terminal_Metro_10,Metro,73,62,153,1189,2,#FFFF00
TR0011,Kochi_Central_Shatabdi_11,Shatabdi,168,139,243,617,1,#000080
TR0012,Surat_Shatabdi_12,Shatabdi,175,147,247,750,1,#800080
TR0013,Ludhiana_Central_Shatabdi_13,Shatabdi,162,136,239,589,1,#C0C0C0
TR0014,Amritsar_Express_14,Express,114,95,373,1016,2,#C0C0C0
TR0015,New_Delhi_Terminal_Rajdhani_15,Rajdhani,140,117,208,726,1,#FF0000
TR0016,Belgaum_Local_16,Local,87,70,288,662,2,#800080
TR0017,Silchar_Central_Freight_17,Freight,62,52,460,1378,3,#FFA500
TR0018,Guwahati_Express_18,Express,108,87,282,1000,2,#FFA500
TR0019,Ludhiana_Terminal_Rajdhani_19,Rajdhani,163,144,303,498,1,#808000
TR0020,New_Delhi_Freight_20,Freight,60,48,330,3660,3,#FF00FF
TR0021,Jalandhar_Express_21,Express,122,101,339,1192,1,#008080
TR0022,Chennai_Central_Central_Superfast_22,Superfast,98,82,201,840,2,#FFFF00
TR0023,Hubli_Central_Shatabdi_23,Shatabdi,176,155,342,630,1,#C0C0C0
TR0024,Mangalore_Local_24,Local,92,76,235,842,2,#00FF00
TR0025,Chandigarh_Express_25,Express,112,89,357,1445,2,#FFFF00
TR0026,Indore_Terminal_Shatabdi_26,Shatabdi,150,126,328,747,1,#808000
TR0027,Meerut_Central_Shatabdi_27,Shatabdi,152,129,302,658,1,#800080
TR0028,Bhubaneswar_Freight_28,Freight,68,45,424,4748,3,#000080
TR0029,Jamshedpur_Local_29,Local,103,88,262,1071,2,#FF0000
TR0030,Kanpur_Junction_Express_30,Express,119,98,350,1185,1,#800080
TR0031,Shimla_Terminal_Passenger_31,Passenger,106,96,279,601,2,#00FFFF
TR0032,Jaipur_Central_Rajdhani_32,Rajdhani,176,161,346,784,1,#00FF00
TR0033,Kota_Central_Superfast_33,Superfast,91,72,217,1015,2,#808000
TR0034,Madurai_Metro_34,Metro,96,86,137,1054,2,#FF00FF
TR0035,Chennai_Central_Terminal_Local_35,Local,81,66,293,1110,2,#008000
TR0036,Kolkata_Local_36,Local,106,91,242,1063,2,#FFFF00
